FormDesc;FormDoc;FormWidth;FormHeight;FormDisp;Code;CodeDisp;CodeTitle;CodeTop;CodeLeft;CodeWidth;CodeHeight;CodeExercice;CompteMini;CompteMaxi;CompteJournal;CompteType;CompteSideb;CompteSicre;CompteSoustraire;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AA;Immobilisations incorporelles, fonds commercial;Solde Débit-Crédit de : AN 206 207;180;228;124;22;compteN;206;206;NOUVEAUX;solde_debit;f;f;f;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AA;Immobilisations incorporelles, fonds commercial;Solde Débit-Crédit de : AN 206 207;180;228;124;22;compteN;207;207;NOUVEAUX;solde_debit;f;f;f;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AB;Immobilisations incorporelles, autres;Solde Débit-Crédit de : AN 201 203 205 208 232 237;204;228;124;22;compteN;237;237;NOUVEAUX;solde_debit;f;f;f;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AB;Immobilisations incorporelles, autres;Solde Débit-Crédit de : AN 201 203 205 208 232 237;204;228;124;22;compteN;208;208;NOUVEAUX;solde_debit;f;f;f;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AB;Immobilisations incorporelles, autres;Solde Débit-Crédit de : AN 201 203 205 208 232 237;204;228;124;22;compteN;232;232;NOUVEAUX;solde_debit;f;f;f;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AB;Immobilisations incorporelles, autres;Solde Débit-Crédit de : AN 201 203 205 208 232 237;204;228;124;22;compteN;203;203;NOUVEAUX;solde_debit;f;f;f;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AB;Immobilisations incorporelles, autres;Solde Débit-Crédit de : AN 201 203 205 208 232 237;204;228;124;22;compteN;201;201;NOUVEAUX;solde_debit;f;f;f;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AB;Immobilisations incorporelles, autres;Solde Débit-Crédit de : AN 201 203 205 208 232 237;204;228;124;22;compteN;205;205;NOUVEAUX;solde_debit;f;f;f;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AC;Immobilisations corporelles, terrains;Solde Débit-Crédit de : AN 211 212;228;228;124;22;compteN;211;211;NOUVEAUX;solde_debit;f;f;f;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AC;Immobilisations corporelles, terrains;Solde Débit-Crédit de : AN 211 212;228;228;124;22;compteN;212;212;NOUVEAUX;solde_debit;f;f;f;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AD;Immobilisations corporelles, constructions;Solde Débit-Crédit de : AN 213 214;251;228;124;22;compteN;213;213;NOUVEAUX;solde_debit;f;f;f;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AD;Immobilisations corporelles, constructions;Solde Débit-Crédit de : AN 213 214;251;228;124;22;compteN;214;214;NOUVEAUX;solde_debit;f;f;f;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AE;Immobilisations corporelles, installations techniques matériel et outillages industriels;Solde Débit-Crédit de : AN 215;275;228;124;22;compteN;215;215;NOUVEAUX;solde_debit;f;f;f;
2033-C Immobilisations amortissements plus & moins values;/Compta/images/cerfa/2033C.png;960;1361;t;AF;Immobilisations corporelles, installations générales et aménagements divers;Solde Débit-Crédit de : AN 2181;299;228;124;22;compteN;2181;2181;NOUVEAUX;solde_debit;f;f;f;
