FormDesc;FormDoc;FormWidth;FormHeight;FormDisp;Code;CodeDisp;CodeTitle;CodeTop;CodeLeft;CodeWidth;CodeHeight;CodeExercice;CompteMini;CompteMaxi;CompteJournal;CompteType;CompteSideb;CompteSicre;CompteSoustraire;
;;;;t;AA;Immobilisations incorporelles - Fonds commercial;Solde Débit-Crédit de : 206 207;222;356;139;26;compteN;206;207;;solde_debit;f;f;f;
;;;;t;AB;Immobilisations incorporelles - Autres;Solde Débit-Crédit de : 20 à 205 208 232 237;252;356;139;26;compteN;20;205;;solde_debit;f;f;f;
;;;;t;AB;Immobilisations incorporelles - Autres;Solde Débit-Crédit de : 20 à 205 208 232 237;252;356;139;26;compteN;208;208;;solde_debit;f;f;f;
;;;;t;AB;Immobilisations incorporelles - Autres;Solde Débit-Crédit de : 20 à 205 208 232 237;252;356;139;26;compteN;232;232;;solde_debit;f;f;f;
;;;;t;AB;Immobilisations incorporelles - Autres;Solde Débit-Crédit de : 20 à 205 208 232 237;252;356;139;26;compteN;237;237;;solde_debit;f;f;f;
;;;;t;AC;Immobilisations corporelles;Solde Débit-Crédit de : 21 22 231 238;282;356;139;26;compteN;238;238;;solde_debit;f;f;f;
;;;;t;AC;Immobilisations corporelles;Solde Débit-Crédit de : 21 22 231 238;282;356;139;26;compteN;231;231;;solde_debit;f;f;f;
;;;;t;AC;Immobilisations corporelles;Solde Débit-Crédit de : 21 22 231 238;282;356;139;26;compteN;21;22;;solde_debit;f;f;f;
;;;;t;AD;Immobilisations financières;Solde Débit-Crédit de : 18 26 à 268 27 à 278;312;356;139;26;compteN;27;278;;solde_debit;f;f;f;
;;;;t;AD;Immobilisations financières;Solde Débit-Crédit de : 18 26 à 268 27 à 278;312;356;139;26;compteN;26;268;;solde_debit;f;f;f;
;;;;t;AD;Immobilisations financières;Solde Débit-Crédit de : 18 26 à 268 27 à 278;312;356;139;26;compteN;18;18;;solde_debit;f;f;f;
;;;;t;AE;TOTAL I;AA + AB + AC + AD;343;356;139;26;formuleN;;;;;;;;
;;;;t;AF;Stocks matières premières, appro., en cours de production;Solde Débit-Crédit de : 30 à 35;373;356;139;26;compteN;30;35;;solde_debit;f;f;f;
;;;;t;AG;Stocks marchandises;Solde Débit-Crédit de : 36 à 37;403;356;139;26;compteN;36;37;;solde_debit;f;f;f;
;;;;t;AH;Avances et acomptes versés sur commandes;Solde Débit-Crédit de : 4 à 408 409 à 4091;434;356;139;26;compteN;409;4091;;solde_debit;f;f;f;
;;;;t;AH;Avances et acomptes versés sur commandes;Solde Débit-Crédit de : 4 à 408 409 à 4091;434;356;139;26;compteN;4;408;;solde_debit;f;f;f;
;;;;t;AJ;Créances clients et comptes rattachés;Solde Débit-Crédit de : 41 à 418;465;356;139;26;compteN;41;418;;solde_debit;t;f;f;
;;;;t;AK;Créances autres;Solde Débit-Crédit de : 4092 à 4099 Si solde Débiteur 42 à 4561;494;356;139;26;compteN;4563;459;;solde_debit;t;f;f;
;;;;t;AK;Créances autres;Solde Débit-Crédit de : 4092 à 4099 Si solde Débiteur 42 à 4561;494;356;139;26;compteN;477;479;;solde_debit;t;f;f;
;;;;t;AK;Créances autres;Solde Débit-Crédit de : 4092 à 4099 Si solde Débiteur 42 à 4561;494;356;139;26;compteN;4092;4099;;solde_debit;f;f;f;
;;;;t;AK;Créances autres;Solde Débit-Crédit de : 4092 à 4099 Si solde Débiteur 42 à 4561;494;356;139;26;compteN;42;42;;solde_debit;t;f;f;
;;;;t;AK;Créances autres;Solde Débit-Crédit de : 4092 à 4099 Si solde Débiteur 42 à 4561;494;356;139;26;compteN;43;43;;solde_debit;t;f;f;
;;;;t;AK;Créances autres;Solde Débit-Crédit de : 4092 à 4099 Si solde Débiteur 42 à 4561;494;356;139;26;compteN;44;44;;solde_debit;t;f;f;
;;;;t;AK;Créances autres;Solde Débit-Crédit de : 4092 à 4099 Si solde Débiteur 42 à 4561;494;356;139;26;compteN;58;58;;solde_debit;t;f;f;
;;;;t;AK;Créances autres;Solde Débit-Crédit de : 4092 à 4099 Si solde Débiteur 42 à 4561;494;356;139;26;compteN;45;4561;;solde_debit;t;f;f;
;;;;t;AK;Créances autres;Solde Débit-Crédit de : 4092 à 4099 Si solde Débiteur 42 à 4561;494;356;139;26;compteN;46;46;;solde_debit;t;f;f;
;;;;t;AK;Créances autres;Solde Débit-Crédit de : 4092 à 4099 Si solde Débiteur 42 à 4561;494;356;139;26;compteN;471;475;;solde_debit;t;f;f;
