FormDesc;FormDoc;FormWidth;FormHeight;FormDisp;Code;CodeDisp;CodeTitle;CodeTop;CodeLeft;CodeWidth;CodeHeight;CodeExercice;CompteMini;CompteMaxi;CompteJournal;CompteType;CompteSideb;CompteSicre;CompteSoustraire;
;;;;t;BA;Ventes de marchandises;Solde Crédit-Débit de : 707 709 à 7090 7097;;;;;compteN;7097;7097;;solde_credit;f;f;f;
;;;;t;BA;Ventes de marchandises;Solde Crédit-Débit de : 707 709 à 7090 7097;;;;;compteN;707;707;;solde_credit;f;f;f;
;;;;t;BA;Ventes de marchandises;Solde Crédit-Débit de : 707 709 à 7090 7097;;;;;compteN;709;7090;;solde_credit;f;f;f;
;;;;t;BB;Production vendue;Solde Crédit-Débit de : 701 à 703 7091 à 7093;;;;;compteN;701;703;;solde_credit;f;f;f;
;;;;t;BB;Production vendue;Solde Crédit-Débit de : 701 à 703 7091 à 7093;;;;;compteN;7091;7093;;solde_credit;f;f;f;
;;;;t;BC;Production vendue services;Solde Crédit-Débit de : 704 à 706 708 7094 à 7096 7098;;;;;compteN;704;706;;solde_credit;f;f;f;
;;;;t;BC;Production vendue services;Solde Crédit-Débit de : 704 à 706 708 7094 à 7096 7098;;;;;compteN;7098;7098;;solde_credit;f;f;f;
;;;;t;BC;Production vendue services;Solde Crédit-Débit de : 704 à 706 708 7094 à 7096 7098;;;;;compteN;708;708;;solde_credit;f;f;f;
;;;;t;BC;Production vendue services;Solde Crédit-Débit de : 704 à 706 708 7094 à 7096 7098;;;;;compteN;7094;7096;;solde_credit;f;f;f;
;;;;t;BD;Production stockée;Solde Crédit-Débit de : 713 à 7135;;;;;compteN;713;7135;;solde_credit;f;f;f;
;;;;t;BE;Production immobilisée;Solde Crédit-Débit de : 72;;;;;compteN;72;72;;solde_credit;f;f;f;
;;;;t;BF;Subventions d'exploitation reçues;Solde Crédit-Débit de : 74;;;;;compteN;74;74;;solde_credit;f;f;f;
;;;;t;BG;Autres produits;Solde Crédit-Débit de : 73 751 à 754 756 à 758 781 791;;;;;compteN;781;781;;solde_credit;f;f;f;
;;;;t;BG;Autres produits;Solde Crédit-Débit de : 73 751 à 754 756 à 758 781 791;;;;;compteN;73;73;;solde_credit;f;f;f;
